Tag;English_Source
LiberalEvent3Resb_Setup_Content;Take the <b>Menagerie</b> Estate Upgrade from the Scenario box and place it beside the board.<br /><br />At the End of the Generation it will be awarded to the player who has completed the most <b>{{0=Occult}}</b> Experiments.{{1=?| With 4 players, the player with the second-most completed Experiments of that type also gains a copy of this Upgrade.}}
LiberalEventGood_Setup_Content;No player pays anything towards the bribe. Return all coins offered to their owners.<br /><br />In addition, every player gains <b>$1</b> from the supply as a gift from their mysterious benefactor.
LiberalEventA_Setup_Content;Every player pays <b>$1</b> to the supply.<br /><br />Any player who cannot pay must instead lose <b>2VP</b>.
LiberalEventB_Setup_Content;The <b>{{0=Asylum}}</b> program is shut down. Return its Estate Upgrade and all remaining Rehabilitation tokens to the Scenario box.<br /><br />Every player who still holds a Rehabilitation token discards it and gains <b>1VP</b> for each one discarded.
LiberalTaxes2_Setup_Content;Every player who paid their estate taxes in full gains <b>{{0=2}}VP</b>.<br /><br />Every player who refused to pay loses <b>{{1=1}}VP</b> and must return one Upgrade of their choice from their Estate to the box.
TaxesEventGood_Setup_Content;No player pays estate taxes this round. Return all money set aside for the tax to its owners.<br /><br />Every player also gains <b>1VP</b>.
Payment2Thanks_Setup_Content;Pay <b>${{0=3}}</b> to the supply. Your contract is settled and your marker is removed from the contract track.
Payment2No_Setup_Content;Return your <b>Self</b> <icon=Self> to the Scenario box. You are dead.<br /><br />You continue to score at the end of the game, but you may no longer take actions or gain rewards.
AsylumTreatmentBPay_Setup_Content;Pay <b>$2</b> to the supply.<br /><br />The patient is discharged with no further consequences. They also gain one <b>Rehabilitation</b> token.
AsylumTestResults_Setup_Content;{{0=|Return the patient's <b>Self</b> <icon=Self> to the Scenario box. They are committed to the Asylum permanently and may no longer take actions, though they still score at the end of the game.|The patient pays <b>$1</b> to the supply and is released. If they cannot pay they lose <b>2VP</b> instead.|The patient gains a <b>Maladjustment</b> card from the supply.|Move one <b>Caretaker</b> <icon=GainCaretakerFromLost> from the Lost pile into the patient's Estate.|The patient gains a <b>Maladjustment</b> card from the supply and loses <b>1 Creepy</b> if able.|The patient gains <b>2 Insanity</b>.}}<br /><br />The patient then gains one <b>Rehabilitation</b> token.
CountTestResults_Setup_Content;{{0=|No penalty is applied. The patient is released immediately and gains <b>2VP</b>.|The patient must move one <b>Caretaker</b> or <b>Servant</b> from their Estate to the Lost pile as their referral.|The patient loses <b>1VP</b> and must move one <b>Caretaker</b> or <b>Servant</b> from their Estate to the Lost pile as their referral.}}<br /><br />The patient then gains one <b>Rehabilitation</b> token.
Liberal_Title;Acceptance
Liberal_Setup_Title;Scenario Setup
Liberal_Setup_Content;{{0=?|Turn to <b>page 10</b> of the Scenario book and follow the instructions to establish the Creature's business in the town.}}{{1=?|Turn to <b>page 11</b> of the Scenario book and follow the instructions for the Hunt. Place the Hunt tokens <icon=S2_HuntTokenFRONT> in a supply within reach of all players.}}{{2=?|<br /><br /><i>With 3 players, remove one Hunt token of each value from the supply before play begins.</i>}}
Liberal_ServantRule_Title;Work Release
Liberal_ServantRule_Content;The Asylum's work release program is in full effect. Whenever you would gain a <b>Servant</b> you may instead pay <b>$1</b> to gain a <b>Caretaker</b> from the Lost pile.<br /><br />Servants gained this way may never be discarded to avoid a Scenario penalty.
Liberal_Rehabilitation_Title;Rehabilitation Tokens
Liberal_Rehabilitation_Content;A <b>Rehabilitation</b> token may be spent at any time on your turn to ignore one instance of gaining Insanity, or to discard one Maladjustment card from your Estate.<br /><br />Unspent Rehabilitation tokens are worth <b>1VP</b> each at the end of the game.
Liberal_FocusOnRehabilitation_Title;A Focus on Rehabilitation
Liberal_FocusOnRehabilitation_Content;Once per round, one player may commit themselves to the Asylum for evaluation. The evaluation may end in a discharge, a treatment, or permanent residency.
Liberal_HuntIsOn_Title;The Hunt is On
Liberal_HuntIsOn_Content;The Creature still roams the valley. Players may collect Hunt tokens <icon=S2_HuntTokenFRONT> during the round and mount an expedition at the end of it.
Liberal_Program_Title;The Program
Liberal_Program_Content;The <b>{{0=Rehabilitation}}</b> Program now focuses on <b>{{1=Occult}}</b> research.<br /><br />At the End of the Generation the player who has completed the most Experiments of that type gains the <b>Menagerie</b> Estate Upgrade.{{2=?| With 4 players, the player with the second-most also gains a copy of this Upgrade.}}
Liberal_Crossroads_Title;The Crossroads
Liberal_Crossroads_Content;A stranger waits at the crossroads outside of town after dark, offering favours to those willing to sign their name.
Liberal_Politics_Title;Regional Politics
Liberal_Politics_Content;Parliament is debating the future of the <b>{{0=Asylum}}</b> program. The decision will be settled at the end of this round.
Liberal_Church_Title;The Church
Liberal_Church_Content;The parish remains open to those seeking absolution, for a modest donation.
Liberal_ObsessionFAQ_Title;Obsession FAQ
Liberal_ObsessionFAQ_Content;Review the rules for Obsession cards and how they are scored.
Liberal_EndOfRound_Title;End of the Round
Liberal_EndOfRound_Content;Once all players have completed their turns and all actions have been resolved, continue to the next round.
Isolation_Setup_Title;<b>SETUP</b>
Isolation_RisingPrices_Title;<b>Rising Prices</b>
Isolation_RisingPrices_Content;With the town's isolation in full force, the cost of business has increased. Any space with a <b>$1 payment</b> symbol requires the player to <b>pay $1</b> to take the action listed.
Isolation_LateSetup_Title;<b>SETUP</b>
Isolation_LateSetup_Content;Turn to page <b>{{0=...|16|17|18|...}}</b> of the Village Chronicle.
Isolation_BrazenOffer_Title;<icon=StorybookToken> <b>Brazen Offer</b>
Isolation_BrazenOffer_Content;Once per round, each player may visit the <b>Smuggler's Dock</b> Location in Town. <i><b>Any player with the Key to the City cannot visit this Location.</b></i> Upon visiting, <b>gain 2 Ingredients of your choice</b>.<br /><br />Then, for the consequences of your indiscretion:
Isolation_Verification_Title;<icon=StorybookToken> <b>Verification of Identity</b>
Isolation_Verification_Content;As a registered citizen within the district, you must undergo a strict government background check and perform civic duty obligations.<br /><br />You MUST place your <b>Self</b> piece on the Town Hall as an action once this Generation.<br /><br /><i>(If you have not verified by the End of the Generation, you will <b>lose 4VP and an Estate Upgrade of your choice</b>, if possible.)</i><br /><br />When you visit the Town Hall, complete your verification:
Isolation_TheExperiment_Title;<b>The Experiment</b>
Isolation_TheExperiment_Content;Anytime a player completes <b>{{0=|a Biology|a Chemistry|an Engineering}} Experiment</b>, that player gains a Collaboration token <icon=S2_CollaborativeToken>, placing it in their Quarters. {{1=?|<i>Only 1 token can be collected per player.</i>|The player who gains the most <b>Collaboration</b> tokens <icon=S2_CollaborativeToken> will gain an additional <b>4VP</b>.}}
Isolation_Church_Title;<b>The Church</b>
Isolation_Church_Content;For an explanation of the Church Location if needed:
Isolation_ObsessionFAQ_Title;<b>Obsession FAQ</b>
Isolation_ObsessionFAQ_Content;For a reminder of how an Obsession is Deepened and scored in this Scenario:
Isolation_EndOfRound_Title;<b>End of the Round</b>
Isolation_EndOfRound_Content;Once every player has taken all of their actions and the round is complete:
Tension_Setup_Title;<b>SETUP</b>
Tension_Setup_Content;Turn to page <b>19</b> of the Village Chronicle. {{0=?|Return all bricks to the box. }}Retrieve the <b>Cabinet of Curiosities</b> Estate Upgrades from the Scenario box.<br />{{1=?|Then, since this is a 3 player game, pass the starting player marker clockwise 1 additional time.}}
Tension_SpecialRule_Title;<b>Special Rule</b>
Tension_SpecialRule_Content;Visiting any Location with a <b>black</b> border moves the Romani token <icon=S2_RomaniToken> 1 space to the right. Visiting any Location with a <b>white</b> border moves the <icon=AngryMob_Icon> Marker 1 space to the left.
Tension_SpecialEvent_Title;<icon=StorybookToken> <b>Special Event - Resolution</b>
Tension_SpecialEvent_Content;If the <icon=AngryMob_Icon> Marker ever overtakes the Romani token <icon=S2_RomaniToken>, resolve the Special Event:
Tension_MiddleBadSetup_Title;<b>SETUP</b>
Tension_MiddleBadSetup_Content;Turn to page <b>21</b> of the Village Chronicle.
Tension_BadSpecialRule_Title;<b>Special Rule</b>
Tension_BadSpecialRule_Content;Visiting any Location with a <b>black</b> border moves the <icon=AngryMob_Icon> Marker 1 space to the left.
Tension_MiddleGoodSetup_Title;<b>SETUP</b>
Tension_MiddleGoodSetup_Content;Turn to page <b>20</b> of the Village Chronicle.
Tension_Crossroads_Title;<icon=StorybookToken> <b>A Crossroads</b>
Tension_Crossroads_Content;The first time any player reaches space <b>{{0=...|7|8|9|...}}</b> on the <icon=Creepy_Icon> Track:
Tension_ObsessionPenalty_Title;<b>Obsession Penalty</b>
Tension_ObsessionPenalty_Content;Any player who does not Deepen their Obsession by the End of this Generation will <b>lose {{0=...|4|5|6|...}}VP</b>.
Tension_PlotExpansion_Title;<b>Plot Expansion</b>
Tension_PlotExpansion_Content;Bricks can now be used to expand to new plots in your Estate. When expanding to a new plot, each brick token you spend is worth $1.
Tension_OccultExperimentation_Title;<b>Occult Experimentation</b>
Tension_OccultExperimentation_Content;At the End of the Generation, the player with the most completed <b>Occult</b> Experiments gains the <b>Cabinet of Curiosities</b> Vanity Estate Upgrade. {{0=?|The player with the second-most Experiments will also receive this Upgrade. }}<i>Ties are broken by the one with the lowest VP.</i>
Tension_Church_Title;<b>The Church</b>
Tension_Church_Content;For an explanation of the Church Location if needed:
Tension_ObsessionFAQ_Title;<b>Obsession FAQ</b>
Tension_ObsessionFAQ_Content;For a reminder of how an Obsession is Deepened and scored in this Scenario:
Tension_EndOfRound_Title;<b>End of the Round</b>
Tension_EndOfRound_Content;Once every player has taken all of their actions and the round is complete:
ShowWarriorHandOver_Title;{{0=...|Oliver|James|Olivia|...}}'s Warrior
ShowWarriorHandOver_Content;{{0=...|Oliver|James|Olivia|...}} steps forward to build a champion for the Battle Dome.<br /><br />Please enter your Warrior's statistics with honesty and integrity in view of all players. <i>If you make a mistake, at the end you will have the option to return here and start again.</i>
ShowWarriorStatConfirmed_Title;Statistic Confirmed
ShowWarriorStatConfirmed_Content;<b>{{0=...|3|7|12|...}}</b> is locked in.
ShowWarriorComplete_Title;{{0=...|Ironjaw|The Pale Duke|...}} Complete
ShowWarriorComplete_Content;Agility: <b>{{0=...|7|8|9|...}}</b><br />Strength: <b>{{1=...|3|4|5|...}}</b><br />Life: <b>{{2=...|12|14|16|...}}</b><br /><br /><b>You are ready for a trial by combat!</b>
HuntExplanation_Title;The Hunt
HuntExplanation_Content;At the end of each round, an expedition sets off to kill the Creature. This expedition is led by the player or players who have collected the most Hunt tokens. <i>The Storybook will prompt you to compare totals. All tied players go on the expedition together. You may secretly look at your Hunt tokens when you collect them.</i><br /><br />The player or players leading the expedition reveal their tokens and count up the total number of <b>Clues</b> on the reverse side. If you have collected a number of <b>Clues</b> equal to or greater than the expedition amount needed, the expedition succeeds and the Creature is killed.<br /><br />All players on a successful expedition receive <b>5VP</b>.<br /><br />If unsuccessful, another expedition will begin at the end of the next round.
FotuChurch_Title;Charitable Church
FotuChurch_Content;Pay $ X/X/X to move 1/2/3 spaces backwards on the Creepy Track.<br /><br /><i>For example, if the cost is 1/2/3 and you pay $2, you will lose 2 Creepy.</i>
ObsessionFAQ_Title;Common Obsession Clarifications
ObsessionFAQ_Content;<b>White Diamond Abilities</b><br />These are always optional. If you do not want to gain the benefit, you are not forced to gain the benefit.<br /><br /><b>Obsession Deepens TIED/NO TIES</b><br />If the ability lists NO TIES, you must have the most or least outright. If the ability lists OR TIED, as long as you share the most or least, you have completed the task.<br /><br /><b>SPECIFIC CARDS</b><br /><br /><b>INFAMY</b><br />"You cannot visit Town Hall" with any of your pieces.<br /><br /><b>RISING STAR</b><br />The Estate Upgrade discount applies to the purchase price only, not for expanding to a new plot in your estate. If this ability would reduce the cost below $0, you do not receive ($) from the supply.
Caravansery_Setup_Content;In turn order, any player with a <b>Market token</b> may choose to purchase <b>any number</b> of goods at the Traveling Caravan:<br /><br /><b>Pay $1: Gain 1 Ingredient or 1 Knowledge of your choice.</b><br /><br /><i>We note that the caravan is always wandering and is never guaranteed to return again.</i>
PEWitch2_Setup_Content;<b>Retrieve the Obsession cards <i>(18 total)</i>.</b>
PEWitch2PlayerA_Setup_Content;<b>{{0=player name}} {{1=|receives the FOR FAME Obsession.|gains the FOR KNOWLEDGE Obsession.|gains the FOR SCIENCE Obsession.|gains the FOR REVENGE Obsession.|gains the FOR RESPECT Obsession.|gains the FOR ENTERTAINMENT Obsession.}}</b>
PEWitch2PlayerB_Setup_Content;<b>{{0=player name}} {{1=|receives the FOR FAME Obsession.|gains the FOR KNOWLEDGE Obsession.|gains the FOR SCIENCE Obsession.|gains the FOR REVENGE Obsession.|gains the FOR RESPECT Obsession.|gains the FOR ENTERTAINMENT Obsession.}}</b>
PEWitch2PlayerC_Setup_Content;<b>{{0=player name}} {{1=|receives the FOR FAME Obsession.|gains the FOR KNOWLEDGE Obsession.|gains the FOR SCIENCE Obsession.|gains the FOR REVENGE Obsession.|gains the FOR RESPECT Obsession.|gains the FOR ENTERTAINMENT Obsession.}}</b>
PEWitch2PlayerD_Setup_Content;<b>{{0=player name}} {{1=|receives the FOR FAME Obsession.|gains the FOR KNOWLEDGE Obsession.|gains the FOR SCIENCE Obsession.|gains the FOR REVENGE Obsession.|gains the FOR RESPECT Obsession.|gains the FOR ENTERTAINMENT Obsession.}}</b>
PEExplanation1_Title;Obsession!
PEExplanation1_Content;Your <b>Obsession</b> card is kept face-up in front of you.<br /><br />Next to a white diamond is a <b>new special ability</b> that you will perform each time you complete the action listed. This ability is in addition to any normal rewards you would receive.<br /><br /><b>OBSESSION DEEPENS</b><br />At the bottom of your Obsession is a task that you may complete and an amount of <b>VP</b> that is awarded if you do. When you complete your <b>Obsession Deepens</b> task, immediately gain the listed VP and flip the card face-down. <i>The Storybook will prompt you when to resolve any Obsessions that resolve at the END of a Generation.</i><br /><br />Depending on whether you complete or do not complete your Obsession, you will be given a continuing Obsession in the next Generation <i>(more evil or more good).</i> The path the story takes will also interact with your choice to complete or not complete your Obsession.
PEWitch3Intro_Content;All players who have not resolved their Obsession cards do so now.<br /><br /><i>Your Obsession will be altered on the next page depending on whether the Obsession was completed or not completed.</i>
PEWitch3_Setup_Content;<b>{{0=?|If you <i>did not</i> complete your Obsession, draw a Maladjustment for this Generation.|If you completed your Obsession, draw a Maladjustment for this Generation.}}</b>
PEWitch3b_Title;Obsessions Evolve
PEWitch3b_Content;{{6=?|If {{0=first Fate player}} completed their Obsession, they gain the <b>INFAMY</b> card.<br />If they <b>did not</b>, they gain the <b>RISING STAR</b> card.<br /><br />}}{{7=?|If {{1=second Fate player}} completed their Obsession, they gain the <b>LIMITLESS KNOWLEDGE</b> card.<br />If they <b>did not</b>, they gain the <b>GRAND KNOWLEDGE</b> card.<br /><br />}}{{8=?|If {{2=third Fate player}} completed their Obsession, they gain the <b>TRUE SCIENCE</b> card.<br />If they <b>did not</b>, they gain <b>THE TRUEST SCIENCE</b> card.<br /><br />}}{{9=?|If {{3=fourth Fate player}} completed their Obsession, they gain the <b>UTTER REVENGE</b> card.<br />If they <b>did not</b>, they gain the <b>SWEET REVENGE</b> card.<br /><br />}}{{10=?|If {{4=fifth Fate player}} completed their Obsession, they gain the <b>COMMANDING RESPECT</b> card.<br />If they <b>did not</b>, they gain the <b>DEMANDING RESPECT</b> card.<br /><br />}}{{11=?|If {{5=sixth Fate player}} completed their Obsession, they gain the <b>WITHOUT RESTRICTION</b> card.<br />If they <b>did not</b>, they gain <b>THE WORLD MUST BURN</b> card.<br /><br />}}Discard and return ALL other <b>Obsession</b> cards to the Scenario box.
PEExplanation2_Title;Obsession Penalty
PEExplanation2_Content;Your Obsession card now lists a penalty.<br /><br />Next to a <b>red</b> diamond is a <b>new penalty</b> rule that you <b>must</b> follow. If this penalty affects an action, the penalty is in addition to any normal rewards you would receive.
PEWitchEnding_Title;Obsession Resolution
PEWitchEnding_Content;All players who have not resolved their Obsession cards, do so now.<br /><br />{{5=?|<b>Any player who did not DEEPEN their Obsession card loses {{0=Obsession VP}}VP.</b><br /><br />}}{{6=?|{{1=first player}}, if you have Deepened your Obsession, you <b>gain 4VP</b>. Otherwise, you <b>lose 4VP</b>.<br />}}{{7=?|{{2=second player}}, if you have Deepened your Obsession, you <b>gain 4VP</b>. Otherwise, you <b>lose 4VP</b>.<br />}}{{8=?|{{3=third player}}, if you have Deepened your Obsession, you <b>gain 4VP</b>. Otherwise, you <b>lose 4VP</b>.<br />}}{{9=?|{{4=fourth player}}, if you have Deepened your Obsession, you <b>gain 4VP</b>. Otherwise, you <b>lose 4VP</b>.<br />}}
Gen3Token2b_Setup_Content;Discard your <b>Obsession</b> card to the Scenario box.<br /><br />Draw <b>4 Compulsion</b> cards.
Scoring_Title;Scoring
Scoring_Content;Each Estate Upgrade is worth 1VP.<br />Add any additional points from Vanity Estate Upgrades.<br />Score -3VP for any Maladjustments gained at the End of this Generation.<br /><br />{{0=?|<b>Creature Masterwork</b><br />The player with <b>The Creature</b> Masterwork loses <b>5VP</b> if the Experiment is not completed.<br /><br />}}THE PLAYER WITH THE MOST POINTS IS THE WINNER OF THE GAME.
FotuScoreEntry_Content;Enter the final Victory Point total for {{0=player name}}.
FotuTieBreak_Content;There is a tie for the most Victory Points. Enter the amount of money ($) that {{0=player name}} has remaining.
